id,name,category,latitude,longitude,pincode,district
node/30143150,Pudupattinam / Kalpakkam,Bus Stations,12.5036483,80.1509835,603102,Kanchipuram
node/186741980,Nungambakkam Police Station,Metro Stations,13.0578356,80.2427521,600034,Chennai
node/243049436,Sterling Road,Metro Stations,13.0633711,80.243452,600031,Chennai
node/243060332,மைலாப்பூர்,Bus Stations,13.0334336,80.2679457,600028,Chennai
node/243064594,Express avenue,Bus Stations,13.0608709,80.2652174,600014,Chennai
node/243714289,"Sri Ragavendra Temple, Paparpatti",Temples,12.2207676,78.0564145,636809,Dharmapuri
node/244510893,Gounder Mills Bus Stop,Bus Stations,11.0597627,76.9446459,641034,Coimbatore
node/244513191,"Sri Ramakrishna Engineering College, vatamalaipalayam, coimbatore",Colleges,11.1016316,76.9653051,641022,Coimbatore
node/245587171,Kottur Bus Stand,Bus Stations,10.6544489,77.0083351,642002,Coimbatore
node/246761179,Housing Unit,Bus Stations,11.0401065,76.9491122,641012,Coimbatore
node/246811544,Hope College Signal,Colleges,11.0263851,77.0208783,641004,Coimbatore
node/246866326,Thiruvanmiyur Moffusil bus stop,Bus Stations,12.9873013,80.2594187,600020,Chennai
node/247051479,Fertilizer company( yaeru company) bus stop,Bus Stations,11.0339729,76.9506762,641012,Coimbatore
node/247177661,Cheran Nagar,Bus Stations,11.0519652,76.9460784,642117,Coimbatore
node/247177666,ITI busstop,Bus Stations,11.0551818,76.9456277,641034,Coimbatore
node/247177667,Vellakinar Pirivu,Bus Stations,11.0643219,76.9436755,641034,Coimbatore
node/247177668,VG Hospital Bus stop,Bus Stations,11.0705557,76.9424133,641034,Coimbatore
node/247177691,"Shiva Temple, 1500 years old",Temples,11.0844709,76.9397289,641034,Coimbatore
node/247177695,NGGO Colony Busstop,Bus Stations,11.0900068,76.938591,641034,Coimbatore
node/247404099,Boys Company Bus Bay,Bus Stations,11.3642277,76.7753449,643231,Nilgiris
node/247432808,Sri Venkateswara College of Engineering - SVCE,Colleges,12.9864437,79.9717629,602117,Kanchipuram
node/247675520,T.Nagar,Metro Stations,13.0349762,80.2307357,600033,Chennai
node/247677936,Foreshore Estate Bus Terminus,Bus Stations,13.0224016,80.2763268,600028,Chennai
node/247691544,V House Bus Terminus,Bus Stations,13.0512112,80.2778386,600005,Chennai
node/248454339,Poonamallee MTC Terminus,Bus Stations,13.0511602,80.0949546,600117,Kanchipuram
node/248467412,Chennai Chetpet,Railway Stations,13.0743424,80.242421,600031,Chennai
node/248543645,Kuppam,Railway Stations,12.74728,78.3403626,635120,Krishnagiri
node/248543699,Mulanur,Railway Stations,12.662548,78.4067546,635852,Vellore
node/248543770,Patchur,Railway Stations,12.5865309,78.4697329,635852,Vellore
node/248545108,Pattaravakkam,Railway Stations,13.1143904,80.1663975,600098,Tiruvallur
node/249497682,Banyan Tree,Bus Stations,13.0109976,80.2591938,600085,Chennai
node/249497696,Malar Hospital,Bus Stations,13.0070054,80.2583614,600020,Chennai
node/249497892,Sathya Studio,Bus Stations,13.0148091,80.2593497,600028,Chennai
node/249965733,Honeymoon Boat House,Tourist Attractions,11.4041834,76.6803739,643007,Nilgiris
node/250319253,Hindi Prachar Sabha,Metro Stations,13.0363377,80.2394517,600035,Chennai
node/251103708,Cosmos,Bus Stations,12.9652276,77.7182222,635103,Krishnagiri
node/251104654,SAP ITPL,Bus Stations,12.9775585,77.7150021,635103,Krishnagiri
node/253455822,Prajwal School,Bus Stations,12.9920375,77.7564518,635103,Krishnagiri
node/253514986,Belandur Road,Railway Stations,12.9385595,77.707137,635103,Krishnagiri
node/256029400,SIDCO Industrial Estate,Industrial Estates,13.01407,80.2091208,600088,Kanchipuram
node/256039818,Guindy,Bus Stations,13.0080754,80.2093905,600088,Kanchipuram
node/256777901,Kanchipuram,Railway Stations,12.8483107,79.705073,600115,Kanchipuram
node/257439186,Nehru Nagar Industrial Estate,Industrial Estates,12.9742161,80.2475423,600096,Kanchipuram
node/257932256,Saravana Theatre,Bus Stations,13.0936754,80.2508682,600082,Chennai
node/259662367,Royapettah Police Station,Bus Stations,13.0524541,80.26382,600014,Chennai
node/261713038,Reddipalayam,Railway Stations,12.7281168,79.953204,603305,Kanchipuram
node/261713045,Villiyambakkam,Railway Stations,12.7518653,79.9341459,603312,Kanchipuram
node/261716087,Walajabad,Railway Stations,12.7968265,79.8185833,631605,Kanchipuram
node/261716103,Kanchipuram East,Railway Stations,12.8408612,79.7121979,600115,Kanchipuram
node/262308384,Pattabiram Military Siding,Railway Stations,13.1373759,80.0601177,600055,Tiruvallur
node/262308392,GingerBread,Bus Stations,13.0802164,80.1736956,600095,Tiruvallur
node/262308393,Ambattur Industrial Estate,Industrial Estates,13.0922855,80.1675492,600098,Tiruvallur
node/267158149,Tirumalpur,Railway Stations,12.9565668,79.6737627,631051,Vellore
node/276516531,Yerikarai Bus Stop,Bus Stations,13.2856855,80.2322807,600120,Tiruvallur
node/276608584,Ambattur Industrial Estate Junction,Industrial Estates,13.0997695,80.170132,600098,Tiruvallur
node/277375984,Sambandam Nagar,Bus Stations,12.9912772,80.0951151,603203,Kanchipuram
node/277912055,Ram Nagar,Bus Stations,12.9652732,80.2071039,600091,Kanchipuram
node/278662401,Kandal Cross Shrine,Churches,11.4075289,76.6755182,643007,Nilgiris
node/278744710,Velachery Vijayanagar Bus Terminus,Bus Stations,12.975951,80.2210664,600088,Kanchipuram
node/278745849,மூவரசம்பட்டு கூட்ரோடு,Bus Stations,12.9682899,80.18948,600091,Kanchipuram
node/278746364,Hindu Colony,Bus Stations,12.9754924,80.183263,600061,Kanchipuram
node/278746634,Nanganallur Bus Terminus,Bus Stations,12.9778068,80.1812484,600061,Kanchipuram
node/278747097,Chidambaram Stores,Bus Stations,12.9830658,80.1888463,600061,Kanchipuram
node/279150540,பரங்கிமலை ரயில் நிலையம்,Bus Stations,12.9946395,80.200193,600088,Kanchipuram
node/279222927,Dharmalingeswarar Temple,Temples,12.9715133,80.1863723,600061,Kanchipuram
node/279318169,Wellington,Railway Stations,11.3560782,76.7861039,643231,Nilgiris
node/279318170,Aruvankadu,Railway Stations,11.3595344,76.769611,643202,Nilgiris
node/279318171,Ketti,Railway Stations,11.3817911,76.7376133,643243,Nilgiris
node/279318172,Udhagamandalam,Railway Stations,11.4051694,76.6963387,643215,Nilgiris
node/279318254,Hill Grove,Railway Stations,11.3420141,76.8356649,643103,Nilgiris
node/279428204,Krishna Engineering College,Colleges,10.9369672,76.956139,641042,Coimbatore
node/279954205,Kallar,Railway Stations,11.3385535,76.8829064,643242,Nilgiris
node/279992466,Lovedale,Railway Stations,11.3848345,76.7051018,643215,Nilgiris
node/280171898,Saint Stephens,Churches,11.4141684,76.7022396,643215,Nilgiris
node/280172048,Holy Trinity,Churches,11.4134446,76.7022256,643215,Nilgiris
node/280498514,Siddhi Vinayakar Temple,Temples,12.9744013,80.1846894,600061,Kanchipuram
node/280498846,Ardhanarishvarar Temple,Temples,12.9849564,80.1880712,600061,Kanchipuram
node/280499221,Varasiddhi Vinayakar Temple,Temples,12.9791978,80.1811044,600061,Kanchipuram
node/280499839,Viswaroopa Anjaneya Temple,Temples,12.9862343,80.1943293,600061,Kanchipuram
node/280511180,Pathala Vigneshvarar Temple,Temples,12.9711569,80.1907604,600061,Kanchipuram
node/280942706,Breeks All India Secondary School,Schools,11.4124436,76.7014757,643215,Nilgiris
node/282438376,Westcroft,Residential Complexes,11.3539203,76.7988307,643231,Nilgiris
node/282461762,St. Thomas church,Churches,11.4020284,76.6942587,643215,Nilgiris
node/282839659,Ramakrishna Hospital BusStop,Bus Stations,11.0242008,76.9783476,641011,Coimbatore
node/282839766,RailwayGate BusStop,Bus Stations,11.0285064,76.9806936,641011,Coimbatore
node/282842135,Avarampalayam Bus Stand,Bus Stations,11.029187,76.9854035,641004,Coimbatore
node/282842885,NavaIndia Bus Stop,Bus Stations,11.0202939,76.9925083,641004,Coimbatore
node/282842908,ESSO Bunk Bus Stop,Bus Stations,11.0219214,76.9964075,641004,Coimbatore
node/282874142,Sri Ramakrishna Arts and Science College for Womens,Colleges,11.0223964,76.9780502,641011,Coimbatore
node/282875093,SNR College of Arts and Science,Colleges,11.0219743,76.9877109,641004,Coimbatore
node/282875098,Sri Ramakrishna Dental College,Colleges,11.0213038,76.9883559,641004,Coimbatore
node/282879494,Tudor Hall,Residential Complexes,11.4230698,76.6911455,643237,Nilgiris
node/283615699,JSS college of pharmacy,Colleges,11.4021309,76.7078353,643215,Nilgiris
node/283615937,Nazareth Convent,Schools,11.4070228,76.6942109,643215,Nilgiris
node/283625183,St Mary's Church,Churches,11.4086752,76.693954,643215,Nilgiris
node/285883979,sri krishna arts and science college,Colleges,10.9378137,76.9590823,641042,Coimbatore
node/286095496,Lawley Institute,Colleges,11.4146647,76.7093206,643215,Nilgiris
node/287207815,Erumapalayam,Bus Stations,11.6428292,78.1766463,636003,Salem
node/287789919,Vaitheeshwara School,Bus Stations,11.8065063,77.8248334,636404,Salem
node/287789925,Sampalli,Bus Stations,11.8116616,77.8358085,636404,Salem
node/287789933,Raman Nagar,Bus Stations,11.816408,77.844656,636404,Salem
node/288370387,Erode Junction,Railway Stations,11.3286258,77.7257896,638009,Erode
node/289373830,Kapaleeswarar Temple,Temples,13.0337415,80.2698427,600028,Chennai
node/290585815,Kingsbury Nursery School,Schools,11.4152621,76.7076641,643215,Nilgiris
node/290656624,Villivakkam MTC Bus Terminus,Bus Stations,13.1054562,80.2079273,600017,Chennai
node/291683210,arkay systems,Offices,11.0224082,76.9929061,641004,Coimbatore
node/292200485,Central Soil Conservation Institute,Colleges,11.4010787,76.6674647,643004,Nilgiris
node/292200486,Radio Astronomy Centre,Universities,11.3832903,76.6659146,643004,Nilgiris
node/292565769,Gunjuru Hosahalli,Bus Stations,12.9201794,77.7420259,635103,Krishnagiri
node/293396820,Mehtha Nagar,Metro Stations,13.0678104,80.2269115,600029,Chennai
node/295552094,அண்ணா நகர் கோபுரம்,Tourist Attractions,13.0863046,80.2137898,600030,Chennai
node/295979267,Asthamsa Varadar Anjaneyar Kovil,Temples,11.020842,76.9969377,641004,Coimbatore
node/295987842,Government Women's Polytechnic College,Colleges,11.0159476,76.975865,641011,Coimbatore
node/298958309,Glenrock House,Residential Complexes,11.4180805,76.7150541,643215,Nilgiris
node/299808136,Besant Nagar Depot,Bus Stations,13.0002825,80.2653435,600020,Chennai
node/299882966,Andal Nagar,Bus Stations,12.9810098,80.2066688,600088,Kanchipuram
node/299885276,Subramanya Temple,Temples,12.9852789,80.2049757,600088,Kanchipuram
node/300299526,Vinayaka Temple,Temples,12.9893877,80.2017099,600088,Kanchipuram
node/300314880,Sri Utthara Guruvayoorapan Temple,Temples,12.9830855,80.1932085,600061,Kanchipuram
node/300316947,Guindy Station,Bus Stations,13.0081325,80.2133106,600088,Kanchipuram
node/300370338,Vanuvampet,Bus Stations,12.9816619,80.1957195,600061,Kanchipuram
